"ID","Age","Sex","Group","Home_Cage","Weight"
"G4_1",19,"Male","WT+MTX","C11151962",8.8
"G4_2",19,"Male","WT+Saline","C11151962",9.4
"G4_6",19,"Female","WT+MTX","C11151962",9.3
"G4_7",19,"Female","KO+MTX","C11151962",8.8
"G4_8",19,"Female","WT+Saline","C11151962",8.7
"G4_1",20,"Male","WT+MTX","C11151962",NA
"G4_2",20,"Male","WT+Saline","C11151962",NA
"G4_6",20,"Female","WT+MTX","C11151962",NA
"G4_7",20,"Female","KO+MTX","C11151962",NA
"G4_8",20,"Female","WT+Saline","C11151962",NA
"G4_1",21,"Male","WT+MTX","C11151962",8.9
"G4_2",21,"Male","WT+Saline","C11151962",11.4
"G4_6",21,"Female","WT+MTX","C11151962",10.1
"G4_7",21,"Female","KO+MTX","C11151962",9.2
"G4_8",21,"Female","WT+Saline","C11151962",10.7
"G4_1",22,"Male","WT+MTX","C11151962",8.7
"G4_2",22,"Male","WT+Saline","C11151962",12.1
"G4_6",22,"Female","WT+MTX","C11151962",10.5
"G4_7",22,"Female","KO+MTX","C11151962",9.3
"G4_8",22,"Female","WT+Saline","C11151962",10.9
"G4_1",23,"Male","WT+MTX","C11151962",9.4
"G4_2",23,"Male","WT+Saline","C11151962",12.9
"G4_6",23,"Female","WT+MTX","C11151962",11.4
"G4_7",23,"Female","KO+MTX","C11151962",9.8
"G4_8",23,"Female","WT+Saline","C11151962",11.7
"G4_1",24,"Male","WT+MTX","C11151962",9.4
"G4_2",24,"Male","WT+Saline","C11151962",14.3
"G4_6",24,"Female","WT+MTX","C11151962",11.8
"G4_7",24,"Female","KO+MTX","C11151962",10.1
"G4_8",24,"Female","WT+Saline","C11151962",12.1
"G4_1",25,"Male","WT+MTX","C11151962",10.8
"G4_2",25,"Male","WT+Saline","C11151962",15.5
"G4_6",25,"Female","WT+MTX","C11151962",12.9
"G4_7",25,"Female","KO+MTX","C11151962",11
"G4_8",25,"Female","WT+Saline","C11151962",13.2
"G4_1",26,"Male","WT+MTX","C11151962",12.1
"G4_2",26,"Male","WT+Saline","C11151962",16.5
"G4_6",26,"Female","WT+MTX","C11151962",14
"G4_7",26,"Female","KO+MTX","C11151962",13.8
"G4_8",26,"Female","WT+Saline","C11151962",14.6
"G4_1",27,"Male","WT+MTX","C11151962",13
"G4_2",27,"Male","WT+Saline","C11151962",17.5
"G4_6",27,"Female","WT+MTX","C11151962",14.5
"G4_7",27,"Female","KO+MTX","C11151962",12.7
"G4_8",27,"Female","WT+Saline","C11151962",14.1
"G4_1",35,"Male","WT+MTX","C11151962",18.8
"G4_2",35,"Male","WT+Saline","C11151962",21.2
"G4_6",35,"Female","WT+MTX","C11151962",19.3
"G4_7",35,"Female","KO+MTX","C11151962",18.1
"G4_8",35,"Female","WT+Saline","C11151962",16.9
"G4_1",41,"Male","WT+MTX","C11151962",22.5
"G4_2",41,"Male","WT+Saline","C11151962",23.7
"G4_6",41,"Female","WT+MTX","C11151962",20.2
"G4_7",41,"Female","KO+MTX","C11151962",19.8
"G4_8",41,"Female","WT+Saline","C11151962",18.4
"G4_1",49,"Male","WT+MTX","C11151962",24.7
"G4_2",49,"Male","WT+Saline","C11151962",24.4
"G4_6",49,"Female","WT+MTX","C11151962",21.5
"G4_7",49,"Female","KO+MTX","C11151962",20.4
"G4_8",49,"Female","WT+Saline","C11151962",19.6
"G4_1",56,"Male","WT+MTX","C11151962",27.4
"G4_2",56,"Male","WT+Saline","C11151962",25.3
"G4_6",56,"Female","WT+MTX","C11151962",23.3
"G4_7",56,"Female","KO+MTX","C11151962",22
"G4_8",56,"Female","WT+Saline","C11151962",21.3
"G4_1",62,"Male","WT+MTX","C11151962",29
"G4_2",62,"Male","WT+Saline","C11151962",26.5
"G4_6",62,"Female","WT+MTX","C11151962",22.8
"G4_7",62,"Female","KO+MTX","C11151962",22.6
"G4_8",62,"Female","WT+Saline","C11151962",22.3
"G5_2",13,"Male","KO+Saline","C11181627",7.8
"G5_3",13,"Male","KO+MTX","C11181627",7.9
"G5_6",13,"Female","WT+Saline","C11181627",7.9
"G5_7",13,"Female","WT+MTX","C11181627",7.8
"G5_8",13,"Female","WT+Saline","C11181627",8.1
"G5_9",13,"Female","WT+MTX","C11181627",7.6
"G5_2",17,"Male","KO+Saline","C11181627",7.3
"G5_3",17,"Male","KO+MTX","C11181627",8.4
"G5_6",17,"Female","WT+Saline","C11181627",7
"G5_7",17,"Female","WT+MTX","C11181627",7.9
"G5_8",17,"Female","WT+Saline","C11181627",7.6
"G5_9",17,"Female","WT+MTX","C11181627",7.5
"G5_2",18,"Male","KO+Saline","C11181627",8.3
"G5_3",18,"Male","KO+MTX","C11181627",8.6
"G5_6",18,"Female","WT+Saline","C11181627",8.6
"G5_7",18,"Female","WT+MTX","C11181627",7.8
"G5_8",18,"Female","WT+Saline","C11181627",8.5
"G5_9",18,"Female","WT+MTX","C11181627",8.1
"G5_2",19,"Male","KO+Saline","C11181627",8.7
"G5_3",19,"Male","KO+MTX","C11181627",8.9
"G5_6",19,"Female","WT+Saline","C11181627",8.3
"G5_7",19,"Female","WT+MTX","C11181627",8.7
"G5_8",19,"Female","WT+Saline","C11181627",9.2
"G5_9",19,"Female","WT+MTX","C11181627",8.7
"G5_2",20,"Male","KO+Saline","C11181627",9.5
"G5_3",20,"Male","KO+MTX","C11181627",9.2
"G5_6",20,"Female","WT+Saline","C11181627",9.1
"G5_7",20,"Female","WT+MTX","C11181627",9
"G5_8",20,"Female","WT+Saline","C11181627",9.8
"G5_9",20,"Female","WT+MTX","C11181627",8.9
"G5_2",21,"Male","KO+Saline","C11181627",NA
